Record_time        , Epoch, Train_Loss, Val_Loss, LR    , Elapsed    , ETA
2026-05-29 18:36:45,     1,     0.2938,   0.2627, 0.0005, 00h 01m 12s, 00h 59m 14s
2026-05-29 18:37:53,     2,     0.2223,   0.1925, 0.0005, 00h 02m 21s, 00h 56m 24s
2026-05-29 18:39:03,     3,     0.1868,   0.1696, 0.0005, 00h 03m 31s, 00h 55m 10s
2026-05-29 18:40:14,     4,     0.1736,   0.1595, 0.0005, 00h 04m 41s, 00h 53m 59s
2026-05-29 18:41:24,     5,     0.1620,   0.1550, 0.0005, 00h 05m 51s, 00h 52m 44s
2026-05-29 18:42:32,     6,     0.1566,   0.1519, 0.0005, 00h 07m 00s, 00h 51m 21s
2026-05-29 18:43:43,     7,     0.1532,   0.1496, 0.0005, 00h 08m 11s, 00h 50m 17s
2026-05-29 18:44:52,     8,     0.1528,   0.1515, 0.0005, 00h 09m 19s, 00h 48m 57s
2026-05-29 18:46:04,     9,     0.1495,   0.1465, 0.0005, 00h 10m 32s, 00h 47m 59s
2026-05-29 18:47:14,    10,     0.1494,   0.1467, 0.0005, 00h 11m 41s, 00h 46m 47s
2026-05-29 18:48:25,    11,     0.1483,   0.1421, 0.0004, 00h 12m 52s, 00h 45m 38s
2026-05-29 18:49:35,    12,     0.1447,   0.1434, 0.0004, 00h 14m 03s, 00h 44m 29s
2026-05-29 18:50:45,    13,     0.1452,   0.1472, 0.0004, 00h 15m 12s, 00h 43m 18s
2026-05-29 18:51:56,    14,     0.1441,   0.1438, 0.0004, 00h 16m 23s, 00h 42m 09s
2026-05-29 18:53:07,    15,     0.1453,   0.1462, 0.0004, 00h 17m 34s, 00h 41m 01s
2026-05-29 18:54:18,    16,     0.1428,   0.1396, 0.0004, 00h 18m 46s, 00h 39m 53s
2026-05-29 18:55:29,    17,     0.1426,   0.1409, 0.0004, 00h 19m 57s, 00h 38m 43s
2026-05-29 18:56:40,    18,     0.1426,   0.1393, 0.0004, 00h 21m 07s, 00h 37m 33s
2026-05-29 18:57:49,    19,     0.1434,   0.1416, 0.0003, 00h 22m 17s, 00h 36m 21s
2026-05-29 18:59:00,    20,     0.1414,   0.1413, 0.0003, 00h 23m 27s, 00h 35m 11s
2026-05-29 19:00:10,    21,     0.1415,   0.1399, 0.0003, 00h 24m 37s, 00h 34m 00s
2026-05-29 19:01:20,    22,     0.1408,   0.1399, 0.0003, 00h 25m 48s, 00h 32m 50s
2026-05-29 19:02:32,    23,     0.1389,   0.1461, 0.0003, 00h 27m 00s, 00h 31m 41s
2026-05-29 19:03:43,    24,     0.1394,   0.1400, 0.0003, 00h 28m 11s, 00h 30m 32s
2026-05-29 19:04:52,    25,     0.1392,   0.1417, 0.0002, 00h 29m 20s, 00h 29m 20s
2026-05-29 19:06:01,    26,     0.1384,   0.1407, 0.0002, 00h 30m 29s, 00h 28m 08s
2026-05-29 19:07:13,    27,     0.1394,   0.1402, 0.0002, 00h 31m 40s, 00h 26m 58s
2026-05-29 19:08:23,    28,     0.1389,   0.1385, 0.0002, 00h 32m 51s, 00h 25m 48s
2026-05-29 19:09:32,    29,     0.1377,   0.1387, 0.0002, 00h 34m 00s, 00h 24m 37s
2026-05-29 19:10:42,    30,     0.1370,   0.1378, 0.0002, 00h 35m 09s, 00h 23m 26s
2026-05-29 19:11:52,    31,     0.1370,   0.1367, 0.0002, 00h 36m 19s, 00h 22m 15s
2026-05-29 19:13:01,    32,     0.1368,   0.1349, 0.0001, 00h 37m 29s, 00h 21m 05s
2026-05-29 19:14:12,    33,     0.1373,   0.1336, 0.0001, 00h 38m 39s, 00h 19m 55s
2026-05-29 19:15:22,    34,     0.1367,   0.1337, 0.0001, 00h 39m 49s, 00h 18m 44s
2026-05-29 19:16:32,    35,     0.1354,   0.1392, 0.0001, 00h 40m 59s, 00h 17m 34s
2026-05-29 19:17:43,    36,     0.1350,   0.1348, 0.0001, 00h 42m 10s, 00h 16m 24s
2026-05-29 19:18:53,    37,     0.1360,   0.1337, 0.0001, 00h 43m 20s, 00h 15m 13s
2026-05-29 19:20:01,    38,     0.1355,   0.1350, 0.0001, 00h 44m 29s, 00h 14m 02s
2026-05-29 19:21:11,    39,     0.1350,   0.1374, 0.0001, 00h 45m 39s, 00h 12m 52s
2026-05-29 19:22:22,    40,     0.1343,   0.1355, 0.0000, 00h 46m 49s, 00h 11m 42s
2026-05-29 19:23:32,    41,     0.1338,   0.1377, 0.0000, 00h 47m 59s, 00h 10m 32s
2026-05-29 19:24:42,    42,     0.1336,   0.1360, 0.0000, 00h 49m 09s, 00h 09m 21s
2026-05-29 19:25:51,    43,     0.1356,   0.1338, 0.0000, 00h 50m 19s, 00h 08m 11s
2026-05-29 19:27:01,    44,     0.1338,   0.1345, 0.0000, 00h 51m 28s, 00h 07m 01s
2026-05-29 19:28:12,    45,     0.1329,   0.1326, 0.0000, 00h 52m 40s, 00h 05m 51s
2026-05-29 19:29:20,    46,     0.1332,   0.1356, 0.0000, 00h 53m 48s, 00h 04m 40s
2026-05-29 19:30:31,    47,     0.1340,   0.1354, 0.0000, 00h 54m 58s, 00h 03m 30s
2026-05-29 19:31:41,    48,     0.1342,   0.1336, 0.0000, 00h 56m 08s, 00h 02m 20s
2026-05-29 19:32:50,    49,     0.1346,   0.1339, 0.0000, 00h 57m 18s, 00h 01m 10s
2026-05-29 19:34:02,    50,     0.1354,   0.1373, 0.0000, 00h 58m 30s, 00h 00m 00s
