Record_time,Epoch,Train_Loss,Val_Loss,LR,Elapsed,ETA
2026-05-28 16:46:29,1,0.2889,0.2313,0.0005,00h 13m 16s,10h 50m 09s
2026-05-28 16:59:54,2,0.2137,0.1854,0.0005,00h 26m 41s,10h 40m 39s
2026-05-28 17:13:19,3,0.1847,0.1710,0.0005,00h 40m 06s,10h 28m 20s
2026-05-28 17:26:38,4,0.1754,0.1660,0.0005,00h 53m 25s,10h 14m 25s
2026-05-28 17:39:43,5,0.1622,0.1553,0.0005,01h 06m 30s,09h 58m 33s
2026-05-28 17:52:49,6,0.1552,0.1496,0.0005,01h 19m 36s,09h 43m 50s
2026-05-28 18:06:11,7,0.1535,0.1539,0.0005,01h 32m 58s,09h 31m 07s
2026-05-28 18:19:26,8,0.1516,0.1469,0.0005,01h 46m 13s,09h 17m 42s
2026-05-28 18:33:08,9,0.1510,0.1460,0.0005,01h 59m 55s,09h 06m 18s
2026-05-28 18:46:25,10,0.1482,0.1512,0.0005,02h 13m 12s,08h 52m 49s
2026-05-28 18:59:43,11,0.1490,0.1432,0.0004,02h 26m 30s,08h 39m 26s
2026-05-28 19:13:14,12,0.1478,0.1495,0.0004,02h 40m 01s,08h 26m 45s
2026-05-28 19:26:37,13,0.1482,0.1464,0.0004,02h 53m 24s,08h 13m 34s
2026-05-28 19:39:47,14,0.1455,0.1420,0.0004,03h 06m 35s,07h 59m 47s
2026-05-28 19:53:05,15,0.1449,0.1424,0.0004,03h 19m 52s,07h 46m 22s
2026-05-28 20:06:32,16,0.1437,0.1437,0.0004,03h 33m 20s,07h 33m 20s
2026-05-28 20:19:30,17,0.1428,0.1467,0.0004,03h 46m 17s,07h 19m 16s
2026-05-28 20:32:46,18,0.1432,0.1449,0.0004,03h 59m 33s,07h 05m 52s
2026-05-28 20:46:07,19,0.1432,0.1400,0.0003,04h 12m 54s,06h 52m 38s
2026-05-28 20:59:08,20,0.1417,0.1415,0.0003,04h 25m 55s,06h 38m 52s
2026-05-28 21:12:31,21,0.1402,0.1395,0.0003,04h 39m 18s,06h 25m 42s
