Record_time,Epoch,Train_Loss,Val_Loss,LR,Elapsed,ETA
2026-05-29 07:40:57,1,0.3030,0.2666,0.0005,00h 01m 47s,01h 27m 51s
2026-05-29 07:42:41,2,0.2422,0.2173,0.0005,00h 03m 31s,01h 24m 30s
2026-05-29 07:44:23,3,0.1958,0.1727,0.0005,00h 05m 13s,01h 21m 47s
2026-05-29 07:46:04,4,0.1722,0.1617,0.0005,00h 06m 54s,01h 19m 21s
2026-05-29 07:47:47,5,0.1635,0.1573,0.0005,00h 08m 37s,01h 17m 35s
2026-05-29 07:49:31,6,0.1552,0.1501,0.0005,00h 10m 21s,01h 15m 57s
2026-05-29 07:51:13,7,0.1541,0.1519,0.0005,00h 12m 03s,01h 14m 04s
2026-05-29 07:52:57,8,0.1508,0.1488,0.0005,00h 13m 46s,01h 12m 20s
2026-05-29 07:54:39,9,0.1503,0.1465,0.0005,00h 15m 29s,01h 10m 33s
2026-05-29 07:56:25,10,0.1489,0.1441,0.0005,00h 17m 15s,01h 09m 01s
2026-05-29 07:58:09,11,0.1463,0.1457,0.0004,00h 18m 59s,01h 07m 19s
2026-05-29 07:59:52,12,0.1452,0.1415,0.0004,00h 20m 41s,01h 05m 32s
2026-05-29 08:01:35,13,0.1457,0.1421,0.0004,00h 22m 25s,01h 03m 48s
2026-05-29 08:03:19,14,0.1452,0.1439,0.0004,00h 24m 09s,01h 02m 07s
2026-05-29 08:05:04,15,0.1438,0.1435,0.0004,00h 25m 54s,01h 00m 27s
2026-05-29 08:06:48,16,0.1444,0.1438,0.0004,00h 27m 37s,00h 58m 42s
2026-05-29 08:08:35,17,0.1427,0.1409,0.0004,00h 29m 25s,00h 57m 06s
2026-05-29 08:10:19,18,0.1423,0.1431,0.0004,00h 31m 09s,00h 55m 22s
2026-05-29 08:12:02,19,0.1407,0.1389,0.0003,00h 32m 52s,00h 53m 37s
2026-05-29 08:13:44,20,0.1427,0.1418,0.0003,00h 34m 34s,00h 51m 51s
2026-05-29 08:15:27,21,0.1417,0.1417,0.0003,00h 36m 16s,00h 50m 06s
2026-05-29 08:17:10,22,0.1421,0.1351,0.0003,00h 38m 00s,00h 48m 22s
2026-05-29 08:18:52,23,0.1407,0.1383,0.0003,00h 39m 42s,00h 46m 36s
2026-05-29 08:20:35,24,0.1397,0.1389,0.0003,00h 41m 25s,00h 44m 52s
2026-05-29 08:22:17,25,0.1414,0.1358,0.0002,00h 43m 06s,00h 43m 06s
2026-05-29 08:24:01,26,0.1395,0.1381,0.0002,00h 44m 51s,00h 41m 24s
2026-05-29 08:25:44,27,0.1385,0.1358,0.0002,00h 46m 34s,00h 39m 40s
2026-05-29 08:27:31,28,0.1385,0.1362,0.0002,00h 48m 20s,00h 37m 59s
2026-05-29 08:29:13,29,0.1386,0.1368,0.0002,00h 50m 02s,00h 36m 14s
2026-05-29 08:30:56,30,0.1376,0.1388,0.0002,00h 51m 46s,00h 34m 30s
2026-05-29 08:32:43,31,0.1359,0.1358,0.0002,00h 53m 32s,00h 32m 49s
2026-05-29 08:34:27,32,0.1367,0.1375,0.0001,00h 55m 16s,00h 31m 05s
2026-05-29 08:36:10,33,0.1367,0.1379,0.0001,00h 56m 59s,00h 29m 21s
2026-05-29 08:37:55,34,0.1385,0.1376,0.0001,00h 58m 44s,00h 27m 38s
2026-05-29 08:39:38,35,0.1363,0.1352,0.0001,01h 00m 27s,00h 25m 54s
2026-05-29 08:41:22,36,0.1351,0.1369,0.0001,01h 02m 12s,00h 24m 11s
2026-05-29 08:43:06,37,0.1362,0.1356,0.0001,01h 03m 56s,00h 22m 28s
2026-05-29 08:44:51,38,0.1359,0.1353,0.0001,01h 05m 40s,00h 20m 44s
2026-05-29 08:46:34,39,0.1359,0.1349,0.0001,01h 07m 23s,00h 19m 00s
2026-05-29 08:48:17,40,0.1351,0.1359,0.0000,01h 09m 07s,00h 17m 16s
2026-05-29 08:50:02,41,0.1350,0.1360,0.0000,01h 10m 52s,00h 15m 33s
2026-05-29 08:51:44,42,0.1350,0.1337,0.0000,01h 12m 34s,00h 13m 49s
2026-05-29 08:53:29,43,0.1346,0.1376,0.0000,01h 14m 19s,00h 12m 05s
2026-05-29 08:55:09,44,0.1344,0.1349,0.0000,01h 15m 59s,00h 10m 21s
2026-05-29 08:56:54,45,0.1359,0.1338,0.0000,01h 17m 43s,00h 08m 38s
2026-05-29 08:58:36,46,0.1345,0.1338,0.0000,01h 19m 26s,00h 06m 54s
2026-05-29 09:00:22,47,0.1340,0.1336,0.0000,01h 21m 11s,00h 05m 10s
2026-05-29 09:02:04,48,0.1351,0.1348,0.0000,01h 22m 54s,00h 03m 27s
2026-05-29 09:03:46,49,0.1351,0.1341,0.0000,01h 24m 36s,00h 01m 43s
2026-05-29 09:05:30,50,0.1350,0.1355,0.0000,01h 26m 19s,00h 00m 00s
